채용공고명,회사명,마감일,자격면허,고용형태_근무형태,근무조건_지역,모집요강,모집직종,링크,회사 전화번호,담당자 전화번호
청량재가/재가요양보호사 모집[중부새일센터],청량재가장기요양복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 15시간)","울산광역시 울주군 청량읍 상정1길 2, 상정마을","[재가요양보호사 모집]
▶대상자: 4등급 여자어르신
▶근무장소: 울주군 청량 상정마을
▶근무시간: 9시~12시, 주5일/
▶직무: 대상자케어,가사지원,일상생활지원 등
▶급여: 시급 10,320원(수당별도)
**지원의사 있으시면 전화 먼저 주십시오**
[울산중부새일센터 052-250-5235]",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10202606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"052-250-5235, 052-250-5253",052-250-5235
경원빌딩 미화원 구인,(주)세이프티퍼펙션,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약
주 6일 근무
(주 소정근로시간: 40시간)","서울특별시 강남구 강남대로 340, 경원빌딩 (역삼동)","근무장소 서울시 강남구 강남대로 340 경원빌딩
: 건물 내 입주사 및 내방객으로부터 발생되는 쓰레기 처리, 건물 청소
: 근무시간 06:00~16:00 (휴게 3시간) / 토 06~12 (휴게1시간) 주6일 주40시간
: 월급 2.179.894원
이력서(증명사진 첨부) 사진찍어 문자 전송","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAB002606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,010-3270-1851,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
재가요양보호사 모집,연세노인복지센타,2026.08.04 (화) 24:00,"필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","충청북도 제천시 하소로 95 (하소동, 하소주공아파트3단지)","4등급 어르신, 일상행활지원, 운동지원
- 급여: 시급13,000원",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJMH002606050003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-6431-9942, 070-8128-9942",휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
아파트 내부 미화원 구인,주식회사 토경실업,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 6일 근무
(주 소정근로시간: 30시간)","인천광역시 연수구 원인재로 180, . (연수동, 연수우성2차아파트)","- 연수2차 우성아파트 내부 청소
- 8:30~15:30(토 08:30~11:30)/ 휴게시간 11:30~13:00
- 월 1,614,360원
- 1,2층 신주 있음",건물 청소원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJDI002606050002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,032-439-4515,032-439-4515
[한남동/4등급] 재가요양보호사 구인,사랑노인복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 18시간)","서울특별시 용산구 독서당로6길 16, . (한남동, 리버탑아파트)","[한남동] 4등급 할머니 재가요양보호
-직무내용 : 주변정리 및 일상생활지원등
시급: 13,500원 (최저시급 10,320원 + 주휴수당 등 별도)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAV002606050002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-419-4119, 02-419-4109",02-419-4119
[안산시 단원구] 공사현장 경비 채용(격일제)] - 전화문의 자제-워크넷지원희망,국도안전관리(주),"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 4일 근무
(주 소정근로시간: 40시간)",경기도 안산시 단원구 정왕천동로70번길 18 (성곡동),"[안산시 단원구 공사현장 경비 채용(격일제)]
- 급여 294만원(식사미제공)
- 자차소유자 우대(개발지구 공사현장 특성상 대중교통 연결이 잘 되어있지 않습니다.
- 휴게시간 : 12:00~13:00/18:00~19:00/21:00~21:30 야간:22:00~24:00/ 02:00~05:30
○신원조회 이상없는자(성범죄,아동학대관련범죄,일반범죄 조회)
○신임교육이수 필수, 공사현장경비 경력자 우대
○인근거주자우대
*접수방법
[고용24지원] 또는 [고용서비스기관을 통한 알선요청] (알선시 상담원은 필히 채용절차 설명 요망)
->면접자에 한해 개별연락하오니 확인전화 불필요(문의사항은 알선받으신 담당자에게 문의해 주세요)
고용24입사지원(버튼활성화)->이력서 선택 팝업창에서 입사 지원 부탁드립니다. 지원자 중 적합자에게 담당자 연락 드립니다.
고용24입사지원(버튼 비활성화)->로그인 또는 구직신청 여부 확인",공사현장 경비원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAP002606050007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-522-0722, 02-522-0687",02-522-0722
[동구 만석동]오후재가 요양보호사 구인,두드림노인복지센터,2026.06.19 (금) 24:00,"필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 20시간)","재택근무 가능
인천광역시 동구 제물량로354번길 5, . (만석동)","- 대상자: 2등급 남자어르신
- 근무시간: 13:00~16:00/ 주5일
- 시급 각종 수당 포함 13,000원+중증수당 6,000원
- 직무: 기저귀케어, 간단한 식사 챙겨드리기 등 일반적인 케어
- 지원방법: 채용담당자(032-813-3381또는 010-3765-2154) 통화 후 면접 진행",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJDD002606050003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"032-813-3381, 010-3765-2154, 032-812-4514","032-813-3381, 010-3765-2154"
[금곡동] 재가요양보호사 모집공고,무궁화재가노인복지시설,"채용시까지
(마감시간 : 24시)","필수
요양보호사
필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 3일 근무
(주 소정근로시간: 9시간)","부산광역시 북구 금곡대로616번길 10-9 (금곡동, 금곡2단지주공아파트)","[금곡동] 재가요양보호사 모집공고
▷ 대상자 : 4등급 64세 여자어르신
▷ 근무장소 : 금곡주공2단지 (부산시 북구 금곡대로 616번길 10-9)
▷ 근무내용 : 가사지원 및 일상생활지원 등의 요양보호사 업무
▷ 근무시간 : 주 3일(월수금) 09:00~12:00
▷ 시급 : 10,320원(기타 제수당 별도)
※ 지원문의 : 010-3101-5334 / 051-896-5334 (무궁화재가노인복지시설)
* 다만, 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBI002606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-3101-5334, 051-896-5334, 051-897-5334","010-3101-5334, 051-896-5334"
재가요양보호사 구인,예향재가노인복지센타,"채용시까지
(마감시간 : 24시)","필수
요양보호사1급","기간의 정함이 있는 근로계약(시간(선택)제)
주 3일 근무
(주 소정근로시간: 9시간)","인천광역시 부평구 세월천로25번길 43 (청천동, 우림필유)","- 우림필유아파트 3등급 할머님(기저귀착용중)
- 일상생활 지원(말벗, 청소, 식사 등)
- 근무시간: 10:00-13:00, 주3일(월,수.금) 근무
- 시급: 12,660원(주휴수당 포함)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJDG002606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"032-568-2200, 032-568-2255",032-568-2200
작전역 힐스테이트 자이 계양아파트 청소직 구인,선우환경관리 주식회사,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 6일 근무
(주 소정근로시간: 33시간)","인천광역시 계양구 새벌로 172, . (작전동, 힐스테이트자이계양)","※ 작전역 힐스테이트 자이 계양아파트 내부 청소 구인
* 근무시간 : 평일 08:00~15:00(6시간) / 토 08:00~11:00 (3시간) / 휴게시간(12:00~13:00) / 주 6일
* 급여: 1,749,240원
* 현장면접 : 2026/06/05 (오늘면접) 오후 1시_30분 -14시 힐스테이트 자이 103동 북카페 앞에서 면접봅니다.
*추가 현장면접: 2026년 6월 8일 오전 10시 힐스테이트 자이 103동 북카페 앞에서 면접봅니다.
* 이력서 지참하여 방문. * 즉시 출근 가능자
* 복지카드소지자 우대(일반인 가능함)",건물 청소원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJDC002606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
재가요양보호사 모집,장생마을노인재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 12시간)","경상남도 창원시 마산회원구 양덕서로 30 (양덕동, 메트로시티)","* 대상자 : 4등급 80대 할머니(독거)
* 근무지 : 양덕동 메트로시티
* 월~토, 오후 5~7시 (일요일 추가 근무 가능하신 분 우대)
* 저녁 식사 챙겨드리기
* 토탈시급 15,000원 이상",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10802606050005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,055-283-3221,055-283-3221
[삼방동]장애인 활동지원사 모집,생명사랑장애인활동지원센터,2026.06.19 (금) 24:00,관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 25시간)","경상남도 김해시 삼안로 207 (삼방동, 동성아파트)","장애인 활동지원사 모집
- 초등학교 남학생 자페성 장애
- 가사활동
- 주5일 07:30~10:00 / 17:00~19:30 (90시간)
- 09:00~10:00(학교수업보조)/17:00~19:00(자택에서 돌봄)
- 시급 10,320원 +기타수당 = 13,700
- 자차소유, 인근거주자
- 채용담당자 : 010-8530-5400",장애인 생활지도원(장애인활동보조원 포함),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJSE002606050003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-8530-5400, 051-755-4507, 051-753-4507","010-8530-5400, 051-755-4507"
[신당역 현대아파트/4등급 할머님/ 주5일] 재가 요양보호사 모집,새생명재가노인복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약
주 5일 근무","서울특별시 중구 다산로36길 109, 5동 (신당동, 현대아파트)","[신당동 4등급 할머님] 재가요양사 채용
- 근무시간: 주 5일 09:00~18:00(1일 3시간 공단 청구 그 외 6시간 비급여)
- 직무내용 : 이동도움시 부축 , 식사 지원
- 급여 : 시급 10,320원(수당포함, 13,000원)
- 담당자: 010-2680-7349",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAX002606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-2680-7349, 02-2253-7602, 02-2253-7750","010-2680-7349, 02-2253-7602"
**비하계룡리슈빌2차아파트 경비원 모집**,청풍종합관리(주),"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약
주 4일 근무
(주 소정근로시간: 40시간)","충청북도 청주시 흥덕구 비하로57번길 37, 비하계룡리슈빌2차 (비하동, 비하계룡리슈빌2차아파트)","-비하계룡리슈빌2차 아파트 경비 업무
-근무시간: 격일제 6시~6시(휴게시간9시간)
-급여:월 2,511,280원
*경비교육 이수증 필요
*지원문의: 043-230-7078(중장년내일센터)","건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0162606050002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"043-230-7078, 043-230-7099",043-230-7078
재가요양보호사 모집 (창녕 부곡면),장생마을노인재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 18시간)",경상남도 창녕군 부곡면 구산학포로 373-7,"* 대상자 : 4등급 70대후반 할아버지(독거)
* 근무지 : 창녕군 부곡면 구산리 (구산본건진료소 인근)
* 주 6일(월~토) / 09:00~12:00
* 식사 및 청소 도움 / 어르신 점잖으심
* 토탈시급 : 13,000원",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10802606050004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,055-283-3221,055-283-3221
[ 수동면 ] 재가요양보호사 구인,대비원방문요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 남양주시 수동면 외방로103번길 74, 인근","- 2등급 할머니
- 주5일 / 오전9~12시
- 시급13100원(각종수당)
- 거동가능(등급변경 예정), 신체활동지원, 가사지원, 정서지원",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10242606050004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-594-8845, 031-594-8847",031-594-8845
주문색 생산 및 납품원 모집,일진유통상사,2026.08.04 (화) 24:00,관계없음,"기간의 정함이 없는 근로계약
주 5일 근무
(주 소정근로시간: 40시간)","서울특별시 중구 퇴계로50길 67 67, (정독고시원) (장충동2가)","주문색 생산 및 납품 업무
-주문들어온 색상을 레시피대로 생산하여 납품
-다마스 운전 가능자","인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAY002606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-2269-2856, 02-2279-2856",02-2269-2856
[우동] 재가요양보호사 모집,한마음재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)",부산광역시 해운대구 우동2로14번가길 26-8 (우동),"[우동] 재가요양보호사 모집
- 4등급 70대 여 어르신
- 9:00~12:00 / 주5일
- 신체지원, 가사도움 병원동행도움 필요
- 시급 : 10,320원(제수당포함 시 13,000원)
- 한마음재가복지센터 : 010-2337-4361 (전화 통화 후 방문)
※동 구인은 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBQ002606050008&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-2337-4361, 051-704-1428",010-2337-4361
[범용선반] 기능직 경력자 모집합니다.,명성정밀,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약
주 5일 근무
(주 소정근로시간: 40시간)",경상남도 창원시 마산합포구 산호동2길 54-3 (산호동),범용선반원 모집,범용 선반 조작원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131112606050017&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,055-222-0735,055-222-0735
[내동] 아파트 경비원 모집,주식회사 하나종합관리,2026.06.19 (금) 13:00,"기타
일반경비원신임교육이수(필수)","기간의 정함이 있는 근로계약
주 4일 근무
(주 소정근로시간: 40시간)","경상남도 김해시 내외로 55, 동아1차아파트 (내동, 동아아파트)","아파트 단지 내 순찰 및 보안 경비 업무
◇ 근무형태 : 격일제(06:00 ~ 06:00)/
◇ 휴게시간(주간4시간 / 야간4시간)
◇ 근무형태 : 격일제(06:00 ~ 06:00)/
◇ 휴게시간(주간4시간 / 야간4시간)
◇ 지원 : 010-2560-0450 ""내동 동아1차아파트 지원"" 이력서 문자전송",아파트·빌라 경비원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJSE002606050002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,010-2560-0450,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
재가요양보호사(치매이수자) 모집,창원봉곡재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 3일 근무
(주 소정근로시간: 9시간)","경상남도 창원시 성산구 원이대로 449, 0000-0000 (반림동, 노블파크아파트)","재가요양보호사 모집- 가사지원, 일상생활지원, 식사도움, 말벗, 이동도움 등
반림동 아파트 90대 초반 5급여자어르신/ 주3일 3시~6시",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJSP002606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"055-225-3358, 055-225-4718",055-225-3358
벽산e-솔렌스힐1차 경비원 모집,세운주택관리(주),"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 4일 근무
(주 소정근로시간: 48시간)","경상남도 거제시 상동5길 75-40, 벽산e-솔렌스힐 1차아파트 관리사무소 (상동동, 벽산e-솔렌스힐 1차)","[거제시 일자리지원센터 채용대행 건]
1.모집인원 : 1명
2.접수마감일 : 채용시까지
3.입사일 : 26년 7월 1일
4.제출서류 : 이력서(컬러사진부착), 신임이수증
5.급여 : 2,868,960원(세전), 상여금 별도
6.근무지 : 벽산e-솔렌스힐1차
7.지원방법 : 고용24입사지원, 이메일(geojejob@korea.kr)접수
8.지원문의 : 055-639-4149",아파트·빌라 경비원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJSB002606050002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,055-639-4149,055-639-4149
"(안양6동) 4등급할아버지, 월수금(주3회), 월~금(주5회), 화토 (주2회) 협의, 투석동행, 자차소유자, 시간 꼭 확인 후 지원 요망",케어네이션 만안센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 안양시 만안구 안양로 170, , (안양동)","- 4등급할아바지-거동 가능
- 월수금(오전7:30~오전8:30, 오후1;30~오후3:30 투석 동행으로 아침에 모셔다 드리고 투석 후 다시 동행하여 귀가함), 병원은 비산동 (차로 10분 소요)
- 월~금(주5)..월수금 투석동행, 화금 정오12이후 3시간 협의, 가사지원
- 화,토(주2) 정오12 이후 3시간 협의. . .가사 지원
- 주2회, 주3회, 주5회 가능한 근로 선택 가능
- 자차 소유자-유류비 지원
- 수당포함 시급 : 13,000
- 문의 및 지원(031-8045-4818)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21062606050003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-8045-4818, 031-464-0221",031-8045-4818
[수서동/2등급] 재가요양보호사 구인,가가 호호 재가노인복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 2일 근무
(주 소정근로시간: 11시간)","서울특별시 강남구 광평로39길 3, 동익아파트 (수서동, 동익아파트)","[ 수서동 ] 2등급 할아버지 재가요양
- 직무내용: 식사돕기, 운동도움 위주 케어 희망
- 장기요양급여 적용 근로시간: 1일 4시간
- 주2일 근무 / 근무시간 : 월 19:30~22:30, 토 12:30~24:00
- 시급: 13,200원 (최저시급 10,320원 + 주휴수당 등 별도)
* 대상자 요청에 의한 '추가근무' 있을 수 있음
(다만, 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정지) 등에 차이가 있을 수 있음)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAV002606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-790-3992, 02-2297-2035",02-790-3992
[낙민동] 재가요양보호사 모집,이레재가주야간복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 3일 근무
(주 소정근로시간: 6시간)","부산광역시 동래구 안남로 36 (낙민동, 중앙하이츠2단지)","[낙민동] 재가요양보호사 모집
- 낙민동 중앙하이츠 2차
- 5등급 여자어르신 (85세) / 독거
- 주 3일 / 오전 9시~11시
또는 주 2일 / 오전 9~12시 (요일 지정 및 시간변경가능)
- 시급 10,320원(수당포함 13,020원)
- 식사준비, 가사 및 일상생활지원 등
▶ 치매교육이수 필수
※ 지원문의 : 010-2863-1520 [이레재가주야간복지센터]",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBG002606050004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-2863-1520, 051-525-0806, 051-531-0806","010-2863-1520, 051-525-0806"
[금사동] 재가요양보호사 모집,엘림재가노인복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","부산광역시 금정구 삼어로 237 (금사동, 문화파크)","[금사동] 재가요양보호사 모집
- 문화파크아파트
- 5등급 남자어르신(45년생) / 배우자함께 거주
- 15:30~18:30 주 5일
- 치매이수증 필수
- 시급 13,000원 (기본급10,320+수당포함)
- 어르신 신체활동 및 일상생활지원, 가사지원 등
※ 문의 010-3819-2813 [엘림재가노인복지센터]",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBG002606050002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-3819-2813, 051-528-9190",010-3819-2813
(지축동) 재가요양보호사,(주)케어링 방문요양센터 부천점,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 고양시 덕양구 오부자로 15, 00 (지축동, 지축역 한림풀에버)","* 3등급 할머니
>>일상생활케어, 가사지원서비스
* 주5일
* 근무시간 09:00~12:00
* 시급:13,000(기본시급+제 수당)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21002606050003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,062-713-5385,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
필승회관 공무직 근로자 채용,육군 제30기갑여단,2026.06.19 (금) 17:00,"우대
한식조리기능사
기타
한식, 중식, 양식 등 조리사 관련 자격증우대","기간의 정함이 있는 근로계약
주 5일 근무
(주 소정근로시간: 20시간)","경기도 고양시 덕양구 중앙로64번길 135-1, 필승회관 (화전동)","[덕양구 화전동] 군부대 필승회관 음식조리원 / 식당 홀운영
/ 직무내용
-조리원: 조리실 조리 및 위생업무, 식자재 구매 및 관리업무
-식당운영원: 식당 영업준비 및 위생업무, 손님응대 및 영업마감 업무
/ 근무예정지: 경기도 고양시 덕양구 중앙로64번길 135-1 필승회관
/ 수습기간 3개월 경과 후 정년 보장(정년 있음)
/ 주5일 근무(화~토, 17:30~22:00, (휴게시간 30분 포함))
/ 급여: 월150만원(상여금 연2회)
/ 접수기간 : '26. 6. 5.(금)~ 6. 19.(금)(2주간)
/ 접수방법
1) 방 법 : 등기우편 접수(접수마감일('26. 6. 19.) 우체국 소인까지 유효)
이메일 접수 : socccer51@daum.net 또는 is2020@mnd.go.kr
2) 주 소 : (10292) 경기도 고양시 덕양구 호국로 1172, 1719부대 인사참모처 복지담당
※ 그 외 자세한 사항은 고양시청 채용공고 및 첨부파일 확인 후 지원바랍니다.",일반 음식점 접객서빙원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ20912606050003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-300-6104, 04-143-2203",02-300-6104
[수지 풍덕천동] 수지광교산아이파크 아파트 실내 미화원. 미화반장 채용,（주）국보종합관리,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 31시간)","경기도 용인시 수지구 수풍로23번길 35 (풍덕천동, 수지광교산아이파크)","- 담당직무: 아파트 실내 미화업무
- 미화반장 1명 : 월 1, 832,160원
미화원 2명 : 월 1,782,160원
- 근로시간: 평일 08:30~15:30 / 토요일(격주) 08:00~11:00
- 지원문의: 반장님 010-2392-8457",건물 청소원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21022606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,010-2392-8457,010-2392-8457
[유성구청 채용대행] 방문요양보호사 채용,100년동안 재가복지센타,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 18시간)","대전광역시 동구 충무로 221-8, 인동빌라 (인동)","- 3등급 여어르신(독거) 재가요양보호서비스 (월 22일/주 5~6일/22회 채우기 위해 토요일 근무도 포함)
- 가사(청소, 세탁) 및 식사지원
- 방 한칸으로 규모가 작음
- 지팡이 사용 보행, 병원 가실 때 휠체어 이용",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJFE002606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"042-611-2827, 042-611-2874",042-611-2827
건물 미화직 구인,주식회사 삼성건물관리,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 5일 근무
(주 소정근로시간: 30시간)","경기도 성남시 수정구 위례광장로 19, 아이페리온 (창곡동)","* 주요업무 : 상가 건물 미화직
* 근무시간 : 주5일 근무 08:00~15:00 / 3주에 1번씩 교대로 토요일 근무 있습니다.",건물 청소원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJDA002606050001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-756-2900, 032-652-2903",031-756-2900
[의창구 명서동] 재가 요양보호사 구인,호산나노인복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 3일 근무
(주 소정근로시간: 9시간)",경상남도 창원시 의창구 명지로109번길 54 (명서동),"-대상: 4등급 할머니/손녀딸 거주
-시간: 주 3일(월수금) 11:30~14:30
-지역: 창원시 의창구 명서동 (명지여고 인근)
-시급: 15,000원(협의)
-업무: 병원동행 등 가사 및 일상생활 지원
☎문의: 055-283-3221 창원새일센터",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10802606050002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,055-283-3221,055-283-3221
